response,id,time_posted,company_name,location,title,seniority_level,employment_type,yoe,education,salary,programming_languages,ml_skills,data_processing_db,cloud,visualization,big_data,product_skills,description,job_type
200,4162696839,3 weeks ago,DMF Lighting,"Carson, CA",Senior Graphic Designer,Mid-Senior level,Full-time,30,No degree found,"$80,000.00/yr - $110,000.00/yr",,,,,,,,job description about us dmf lighting designs and builds industryleading led downlighting that sets the standard for flexibility performance and quality founded over 30 years ago dmf has grown into a leader in the lighting industry driven by a passion for innovation and customer serviceour inhouse engineers constantly push the boundaries of lighting delivering products that combine exceptional performance with beautiful design at dmf we believe in a collaborative forwardthinking culture that empowers our team to bring creative ideas to life and make a lasting impact if youre looking for a company where creativity and innovation are part of the dna dmf is the place for youthis role is onsite in carson cathe salary range is 80000110000 annually based on skillsknowledgeexperienceabout you you are an innovative handson senior graphic designer who thrives on challenges and always goes the extra mile to make the perfect touchdown as the creative directors right hand youll play a pivotal role in shaping our brands visual identity collaborating closely to create visually stunning storydriven content that captivates audiences youll take ownership of art direction concept development and execution across digital print and social media ensuring brand consistency at every step in a fastpaced environment you excel at juggling multiple projects and delivering standout design solutions that make a lasting impact if youre driven by challenges and ready to push creative boundaries we want to hear from youkey responsibilitieslead visual identity and art direction across channels ensuring innovative and consistent branding develop creative visual campaigns to support product launches events trade shows and branding communications manage the creative development and art direction forwebsites digital assets and uiux design product catalogs print materials and packaging social media email marketingtrade shows and events formulate concepts with minimal oversight or design direction solve storydriven design problems while being an aesthetic champion for the brand understand and execute the difference between shortterm campaigns and longterm brand ecosystems collaborate with crossfunctional teams marketing product engineering web development to translate project needs into visually stunning designs work with interdisciplinary team members contributing and expressing opinions in a collaborative environment stay current with design trends tools and technologies to keep our visual identity fresh and innovative manage multiple projects simultaneously ensuring timely delivery while maintaining a high standard of creative quality oversee project management from concept through completion prioritizing and handling multiple tasks independently create usercentered designs considering both functional and aesthetic aspects for digital platforms lead and mentor junior designers providing feedback and guidance for creative development skills qualifications at least 58 years of relevant experience in an agency or inhouse graphic design role inhouse preferred ba in graphic design or a related field a strong portfolio demonstrating the ability to develop creative strategic design solutions across a broad range of mediums including print digital and web design video is a plus showcasing expertise in maintaining brand consistency problemsolving and leading crossfunctional projects with a focus on both b2c and b2b contexts proven experience in corporate brand management and the ability to maintain consistent brand messaging expertlevel proficiency in adobe creative suite photoshop illustrator in design experience in uiux design video editing and motion graphics is a plus b2b experience preferred with a strong understanding of businesstobusiness design needs excellent creative and concept development skills with a strong understanding of typography color theory and layout principles detailoriented with a strong sense of aesthetics and design trends ability to guide evaluate and redirect creative development as needed to ensure project success strong communication and collaboration skills with the ability to work well within a team environment ability to independently manage multiple projects prioritize tasks and meet deadlines possess a good design flair and be a broad thinker who can offer a variety of creative solutions what we offerat dmf lighting we provide an exciting fastgrowing environment where youll face stimulating challenges and have the opportunity to drive innovation in the lighting industry we believe in fostering professional growth and offer a supportive collaborative atmosphere where your contributions make a real impact in addition to career development opportunities we offer a comprehensive benefits package including health insurance a 401k retirement plan with company matching paid time off and more join us to be part of a team thats shaping the future of lighting while building a rewarding careercompany description dmf lighting designs and builds industryleading led downlighting that sets the standard for flexibility performance and quality founded over 30 years ago dmf has grown into a leader in the lighting industry driven by a passion for innovation and customer serviceour inhouse engineers constantly push the boundaries of lighting delivering products that combine exceptional performance with beautiful design at dmf we believe in a collaborative forwardthinking culture that empowers our team to bring creative ideas to life and make a lasting impact if youre looking for a company where creativity and innovation are part of the dna dmf is the place for youdmf lighting is proud to be an equal opportunity employerdmf lighting designs and builds industryleading led downlighting that sets the standard for flexibility performance and quality founded over 30 years ago dmf has grown into a leader in the lighting industry driven by a passion for innovation and customer service our inhouse engineers constantly push the boundaries of lighting delivering products that combine exceptional performance with beautiful design at dmf we believe in a collaborative forwardthinking culture that empowers our team to bring creative ideas to life and make a lasting impact if youre looking for a company where creativity and innovation are part of the dna dmf is the place for you dmf lighting is proud to be an equal opportunity employer show more show less,
200,4173149970,1 week ago,Lineage,"Los Angeles, CA",Graphic Designer,Mid-Senior level,Full-time,5,No degree found,No salary found,,,,,,,,were looking for a versatile graphic designer to join our creative team shaping the visual identity of brands across luxury apparel food beverage entertainment and web3 this role requires someone with a sharp design sensibility a strong creative instinct and the ability to adapt across industriescrafting work that is both visually striking and strategically effectiveyou should have a strong design foundation but more importantly a problemsolving mindsetyoure not limited by traditional methods and are comfortable experimenting with new tools techniques or even picking up a camera to get the perfect shot whether its crafting a brand identity developing campaign visuals or designing content that breaks through the noise you bring both conceptual strength and technical execution to every projectwhat youll do design for a range of industries from luxury and entertainment to emerging technology and web3develop highend marketing assets that elevate brands including visual identities campaign graphics pitch decks packaging and digital contenttransform complex ideaswhether in finance culture or technologyinto visually compelling easily digestible designs that inform and engageadapt across different formats and applications ensuring each design is optimized for its intended medium from digital to printgo beyond traditional design solutions embracing new tools techniques and creative approaches to bring fresh unexpected ideas to lifework closely with marketing strategy and content teams to craft visuals that connect with audiences and drive engagementensure consistency and quality across all brand touchpoints delivering refined premium creative that reinforces brand identity and messaging5 years of experience in graphic design branding or creative direction ideally across luxury entertainment or web3 industriesexpert proficiency in adobe creative suite photoshop illustrator in design plus familiarity with motion or 3d design tools after effects cinema 4d figma etc is a bonusa conceptual thinker who can connect design with strategynot just make things look good but make them workability to translate complex or nuanced topics into clear compelling visual narrativesa flexible solutionsoriented approachwhether that means picking up new software experimenting with formats or creating assets from scratchstrong communication and collaboration skillsyou thrive in a teamdriven fastmoving environmentproven ability to work quickly manage multiple projects at once and take ownership of deadlines without constant oversighta killer portfolio that showcases both highend brand work and a diversity of creative approaches show more show less,
200,4184844175,3 days ago,Freese and Nichols,"Dallas, TX",Graphic Designer,Entry level,Full-time,130,bachelors,No salary found,,,,,,,,freese and nichols is seeking a graphic designer to join our team the graphic designer communicates freese and nichols strategic messages and brand identity through visual media this role produces a wide range of materials for business development recruitment and internal communications objectivesthis role is available in any of the following office locations dallas fort worth houston san antonio san marcos austin tx or raleigh ncresponsibilities supports development of creative campaigns implements the graphic vision for the company brand recommends graphics projects that achieve sales and recruitment objectives helps maintain our digital asset management system provides photography assistance as necessary including making arrangements with external photographers understands the aec industry including the capabilities of freese and nichols and individual employees understands freese and nichols strategic plan sales and recruitment processes and communications strategies understands and contributes to freese and nichols graphics standards identifies areas and processes for improvement or efficiency in our companys visual design qualifications3 years of graphics experience associate degree or bachelors degree in graphic design art direction or other related discipline advanced knowledge of adobe photoshop and illustrator preferred qualifications graphic design experience in the aec industry is preferred involvement in a professional organization about freese and nichols at the heart of our culture is our leads values learn continuously engage as family act with integrity deliver quality and serve always each year our employee engagement survey confirms that our leaders and our employees live our valueswe strive to be the firm of choice for clients and employees through innovative approaches practical results and outstanding service for more than 130 years we have been planning and designing the infrastructure our communities need developing water supplies designing roadways and bridges preparing for natural disasters and much morebesides our comprehensive benefits package see more at httpswwwfreesecomservicesbenefitsthatwork we offer paid overtime for salaried employees an annual bonus and access to company cabins in red river new mexico we are proud of our flexible work environment which includes a hybrid schedule with up to 40 of remote work and an alternative work schedule program which provides a day off every other fridayjoin our team of 1200 employees as we grow from virginia to colorado learn more about working here at httpswwwfreesecomcareersfreese and nichols is firmly committed to equal employment opportunity eeo and prohibits employment discrimination for employees and applicants based on his or her age race color pregnancy gender gender identity sexual orientation national origin religion marital status citizenship or because he or she is an individual with a disability protected veteran or other status protected by federal state and local lawswe recognize that our workforce reflects the increasingly diverse nature of our society and we strive to take advantage of that diversity with both our external and internal customers as a federal contractor freese and nichols is an equal employment affirmative action employer show more show less,
200,4127665550,1 week ago,Netflix,"Los Angeles, CA","Design Lead | Standards, Practices & Insights",Not Applicable,Full-time,10,No degree found,"$70,000.00/yr - $370,000.00/yr",,,,,,,,netflix is one of the worlds leading entertainment services with 283 million paid memberships in over 190 countries enjoying tv series films and games across a wide variety of genres and languages members can play pause and resume watching as much as they want anytime anywhere and can change their plans at any timethe standards practices insights team is responsible for establishing validating and communicating clear actionable and datainformed standards for artwork audiovisual and copy assetswe are looking for a design lead this role is for a visionary leader with topnotch aesthetic and storytelling chops who enjoys the challenge of making creative work scale and feel fresh at the same time the ideal candidate will have expertise in working with machine learning technologies and will collaborate closely with product managers data scientists and engineers for image generation models and tools ensuring they produce highquality resultsin this role youll navigate the evolving landscape of new canvases and assets ensuring that our creative quality remains topnotch regardless of changes in workflow or technology youll collaborate with creators and artists to develop sets of high quality artwork that expand the range of what our models are capable of producingas design lead youll help define creative excellence for our visual assets your strong judgment will help distinguish scalable solutions from unique exceptions and youll engage with leaders and key partners to drive creative decisions and shape our product experience while this is an individual contributor role people management experience is a plus given the scope of the initiatives youre expected to influencethis role will be a key contributor to the ideation design and art direction of our promotional assets through guideline and tooling development while the design lead isnt expected to work directly on title launches their expertise influences our teams creative output at scalekey responsibilities help develop a cohesive artistic direction and high production standard in the creation of our visual assets collaborate with crossfunctional teams to integrate craft principles into our design systems evaluate and provide feedback on the input and output of machine learning models to ensure alignment with artwork standards and aesthetic goals offer expertise in design trends and principles rooted in industry standards and datadriven insight allowing our guidelines to be fresh and relevant to global teams work closely with crossfunctional teams including designers creative strategists data scientists product managers and engineers working across global teams to define discuss update and maintain guidelines across artwork and motion design to ensure our standards remain relevant to members and maximize opportunities for innovation understanding evolving product and business goals eg new ui genre etc and recommending appropriate visual standards from creative technical and editorial perspectives partner closely with crossfunctional partners to ensure tools and technology follow the highest standards of design principles and identify opportunities to elevate the design quality and user experience what do you need to succeed10 years of experience with content strategy and production in a creative studio tech platform media company or agency demonstrated expertise in art direction and advanced proficiency in design software excellent written and verbal communication skills demonstrated track record of editorial judgment and critical thinking a thorough understanding of generative ai and machine learning technology and enhancement techniques adaptability to change and a selfless and teamoriented approach to work generally our compensation structure consists solely of an annual salary we do not have bonuses you choose each year how much of your compensation you want in salary versus stock options to determine your personal top of market compensation we rely on market indicators and consider your specific job family background skills and experience to determine your compensation in the market range the range for this role is 70000370000netflix provides comprehensive benefits including health plans mental health support a 401k retirement plan with employer match stock option program disability programs health savings and flexible spending accounts familyforming benefits and life and serious injury benefits we also offer paid leave of absence programs fulltime hourly employees accrue 35 days annually for paid time off to be used for vacation holidays and sick paid time off fulltime salaried employees are immediately entitled to flexible time offsee more detail about our benefits herenetflix is a unique culture and environment learn more hereinclusion is a netflix value and we strive to host a meaningful interview experience for all candidates if you want an accommodationadjustment for a disability or any other reason during the hiring process please send a request to your recruiting partnerwe are an equalopportunity employer and celebrate diversity recognizing that diversity builds stronger teams we approach diversity and inclusion seriously and thoughtfully we do not discriminate on the basis of race religion color ancestry national origin caste sex sexual orientation gender gender identity or expression age disability medical condition pregnancy genetic makeup marital status or military service show more show less,
200,4175768484,1 month ago,Meta,"New York, NY",Designer,Not Applicable,Full-time,142000,No degree found,"$94,000.00/yr - $142,000.00/yr",,,,,,,,creative x is a global agency that drives the creative vision for our brands and how they are perceived in the world we develop the vision for nextgeneration creative advertising consumer brand content and experiences for meta facebook instagram whats app and our hardware productsour vision is fearless creativity that shapes the future of connection with some of the industrys best talent on our team we create beautiful work that has a purpose and with an audience of almost five billion across some of the worlds biggest brands we create brave ideas that demonstrate the full creative potential of our platforms including industry leading envyinducing creative experiences that push the boundaries of traditional advertisingwe believe in attracting and nurturing world class talent with a focus on community and career development we have developed bestinclass collaboration models with agencies and our crosscompany creative network to ensure a consistent and strong creative narrative for work that reaches an audience across the globe due to the scale of our productswe are seeking a designer to create innovative brand design solutions that unify the design principles of our portfolio of brands including meta meta ai facebook instagram and whats app this highly collaborative role will work on integrated projects building and activating design systems in partnership with brand product and marketing teams strong skills in brand systems craft art direction and design thinking are required as well as the ability to seamlessly work across various mediums and project types our ideal candidate is a strong communicator with their finger on the pulse of culture and a knack for distilling complex ideas into original and captivating visualsdesigner responsibilitiescreate brand systems behaviors and design solutions with a high level of craft collaborate with marketing product design research and brand design teams to develop holistic design principles that will unify parts of multiple independent design systems work with program managers to establish effective design processes ensuring timely delivery of design deliverables minimum qualifications3 years of experience in brand design agency andor inhousean effective strategic acumen for building timeless brands through brand architecture multidisciplinary background in brand identitiessystems coupled with experience of leveraging digital channels and emerging technologies experience working with crossfunctional teams proficiency in graphic design art direction typography photography motion design layouts grids and color strategy experience managing external partners and influencing teams from the concept phase to execution proficiency in presenting and pitching creative concepts and ideas to senior leaders and internalexternal partners proficiency in design software such as adobe creative suite including photoshop illustrator in design and figma systems thinking experience navigating complex matrices managing stakeholders and balancing enterpriselevel considerations with attention to detail a link to an online portfolio showcasing your work preferred qualifications5 years of experience in brand design either in an ad agency or inhouse studio environment motion design experience fashion or technology industry experience experience pursuing emerging technologies futurefirst mindset and experience creating in new platforms this may include but is not limited to augmented virtual or mixed reality gaming web3 ai nfts avatars etc about metameta builds technologies that help people connect find communities and grow businesses when facebook launched in 2004 it changed the way people connect apps like messenger instagram and whats app further empowered billions around the world now meta is moving beyond 2d screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology people who choose to build their careers by building with us at meta help shape a future that will take us beyond what digital connection makes possible todaybeyond the constraints of screens the limits of distance and even the rules of physicsmeta is proud to be an equal employment opportunity and affirmative action employer we do not discriminate based upon race religion color national origin sex including pregnancy childbirth or related medical conditions sexual orientation gender gender identity gender expression transgender status sexual stereotypes age status as a protected veteran status as an individual with a disability or other applicable legally protected characteristics we also consider qualified applicants with criminal histories consistent with applicable federal state and local law meta participates in the everify program in certain locations as required by law please note that meta may leverage artificial intelligence and machine learning technologies in connection with applications for employmentmeta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process if you need any assistance or accommodations due to a disability please let us know at accommodationsextfbcom94000year to 142000year bonus equity benefits individual compensation is determined by skills qualifications experience and location compensation details listed in this posting reflect the base hourly rate monthly rate or annual salary only and do not include bonus equity or sales incentives if applicable in addition to base compensation meta offers benefits learn more about benefits at meta show more show less,
200,4159978286,3 weeks ago,Solomon Page,"Glendale, CA",Sr. Graphic Designer,Not Applicable,Contract,5,No degree found,$42.00/hr - $48.00/hr,,,,,,,,well known entertainment brand is seeking a well rounded sr graphic designer to join their team for a full time hours contract in glendale ca the senior graphic designer is responsible for developing creative that engages both internal and external audiences highlighting the unique contributions of multiple brands within a leading entertainment enterprise the ideal candidate will have 360 experience that spans branding typography illustration photo editorial presentation design and print digital productiononsite monthurs remote fri location glendale carate range 4248 per hour responsibilitiesdevelop creative concepts across various channels including branding marketing campaigns digital assets merchandise print materials presentations and eventssolve design challenges using creativity resourcefulness and analytical skills to produce compelling visual solutionscontribute to all stages of the design process including developing style guides mood boards and original sketches for digital print and presentation materialsmanage multiple projects while collaborating with internal teams and stakeholders to maintain brand consistency and visual identitypresent design concepts and recommendations to internal and external partners including senior leadershipprepare productionready files with precise specificationslead the creation of highquality design assets illustrations and campaigns that align with brand objectivesrequired qualificationsminimum 5 years of professional graphic design experience with expertise in both print and digital media including logo development marketing campaigns and event brandingadvanced proficiency in adobe creative suite photoshop illustrator in designstrong skills in illustration color theory and typographyexperience in print production including layout design prepress and press checksunderstanding of web design principles including mobile and responsive layoutsstrong organizational skills attention to detail and ability to manage multiple projects independentlyexperience in editorial design and photographyproficiency in keynote andor power point for presentation designfamiliarity with figma and other web design toolsawareness of current trends in design and content consumptionability to work collaboratively or independently while taking initiativeability to adapt creative work to align with brand guidelinesstrong multitasking skills and ability to work under deadlines in a fastpaced environmentopen to feedback from multiple stakeholders and adaptable to evolving project needsif you meet the required qualifications and are interested in this role please apply todaythe solomon page distinction solomon page offers a comprehensive benefit program for hourly employees we pride ourselves on offering medical dental 401k direct deposit and commuter benefits to our employees including freelancers which sets us apart in the industries we serveabout solomon page founded in 1990 solomon page is a specialty niche provider of staffing and executive search solutions across a wide array of functions and industries the success of solomon page reflects an organic growth strategy supported by a highly entrepreneurial culture acting as a strategic partner to our clients and candidates we focus on providing customized solutions and building longterm relationships based on trust respect and the consistent delivery of excellent results for more information and additional opportunities visit solomonpagecom and connect with us on facebook and linked inopportunity awaits show more show less,
200,4180047561,6 days ago,Weeday,"Los Angeles, CA",Graphic Designer,Entry level,Part-time,2,No degree found,$22.00/hr - $28.00/hr,,,,,,,,job type parttimecontract onsite location downtown los angeles ca 90013about us we are a rapidly growing brand in the smoking accessories market committed to creating highquality beautifully designed products as we expand were seeking passionate individuals to join our team and help us deliver exceptional customer experiencesjob overview weeday is looking for a talented graphic designer parttime onsite to enhance our packaging and digital marketing visuals this role is ideal for a creative designer with a marketing mindset who understands how design impacts ecommerce retail and customer experienceyou will create and refine our packaging and insert designs create engaging digital content for ecommerce and marketing efforts and contribute to new brand creation by developing brand guidelines and visual identity elements the role also includes video editing for social media ensuring highquality engaging content that aligns with our brandportfolio required for considerationkey responsibilities create and improve packaging and insert designs based on our brand guidelinesdevelop graphic designs for digital creatives including ecommerce visuals social media assets and paid ad creativescollaborate with the marketing team on ecommerce strategies and contribute to new brand development as we expandsupport video editing for social mediafuture possibility assist in product graphic design as we develop a new brand subject to project needsqualifications 2 years experience in graphic design preferably in ecommerce brandsstrong portfolio showcasing social media graphics branding and marketing designstrong proficiency in adobe creative suite illustrator photoshop in design etcexperience with brand identity typography and layout designproven videoediting skillsmarketing mindset experience or knowledge in ecommerce social media marketing and digital advertising is a plusstrong attention to detail and ability to work in a fastpaced environmentability to work onsite in downtown la for at least 20 hours per weekbenefits employee discounts on productsopportunities for growth and skill developmentfulltime opportunityfulltime employees receive health benefits and a 401k show more show less,
200,4175770229,1 month ago,Meta,"Los Angeles, CA",Designer,Not Applicable,Full-time,142000,No degree found,"$94,000.00/yr - $142,000.00/yr",,,,,,,,creative x is a global agency that drives the creative vision for our brands and how they are perceived in the world we develop the vision for nextgeneration creative advertising consumer brand content and experiences for meta facebook instagram whats app and our hardware productsour vision is fearless creativity that shapes the future of connection with some of the industrys best talent on our team we create beautiful work that has a purpose and with an audience of almost five billion across some of the worlds biggest brands we create brave ideas that demonstrate the full creative potential of our platforms including industry leading envyinducing creative experiences that push the boundaries of traditional advertisingwe believe in attracting and nurturing world class talent with a focus on community and career development we have developed bestinclass collaboration models with agencies and our crosscompany creative network to ensure a consistent and strong creative narrative for work that reaches an audience across the globe due to the scale of our productswe are seeking a designer to create innovative brand design solutions that unify the design principles of our portfolio of brands including meta meta ai facebook instagram and whats app this highly collaborative role will work on integrated projects building and activating design systems in partnership with brand product and marketing teams strong skills in brand systems craft art direction and design thinking are required as well as the ability to seamlessly work across various mediums and project types our ideal candidate is a strong communicator with their finger on the pulse of culture and a knack for distilling complex ideas into original and captivating visualsdesigner responsibilitiescreate brand systems behaviors and design solutions with a high level of craft collaborate with marketing product design research and brand design teams to develop holistic design principles that will unify parts of multiple independent design systems work with program managers to establish effective design processes ensuring timely delivery of design deliverables minimum qualifications3 years of experience in brand design agency andor inhousean effective strategic acumen for building timeless brands through brand architecture multidisciplinary background in brand identitiessystems coupled with experience of leveraging digital channels and emerging technologies experience working with crossfunctional teams proficiency in graphic design art direction typography photography motion design layouts grids and color strategy experience managing external partners and influencing teams from the concept phase to execution proficiency in presenting and pitching creative concepts and ideas to senior leaders and internalexternal partners proficiency in design software such as adobe creative suite including photoshop illustrator in design and figma systems thinking experience navigating complex matrices managing stakeholders and balancing enterpriselevel considerations with attention to detail a link to an online portfolio showcasing your work preferred qualifications5 years of experience in brand design either in an ad agency or inhouse studio environment motion design experience fashion or technology industry experience experience pursuing emerging technologies futurefirst mindset and experience creating in new platforms this may include but is not limited to augmented virtual or mixed reality gaming web3 ai nfts avatars etc about metameta builds technologies that help people connect find communities and grow businesses when facebook launched in 2004 it changed the way people connect apps like messenger instagram and whats app further empowered billions around the world now meta is moving beyond 2d screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology people who choose to build their careers by building with us at meta help shape a future that will take us beyond what digital connection makes possible todaybeyond the constraints of screens the limits of distance and even the rules of physicsmeta is proud to be an equal employment opportunity and affirmative action employer we do not discriminate based upon race religion color national origin sex including pregnancy childbirth or related medical conditions sexual orientation gender gender identity gender expression transgender status sexual stereotypes age status as a protected veteran status as an individual with a disability or other applicable legally protected characteristics we also consider qualified applicants with criminal histories consistent with applicable federal state and local law meta participates in the everify program in certain locations as required by law please note that meta may leverage artificial intelligence and machine learning technologies in connection with applications for employmentmeta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process if you need any assistance or accommodations due to a disability please let us know at accommodationsextfbcom94000year to 142000year bonus equity benefits individual compensation is determined by skills qualifications experience and location compensation details listed in this posting reflect the base hourly rate monthly rate or annual salary only and do not include bonus equity or sales incentives if applicable in addition to base compensation meta offers benefits learn more about benefits at meta show more show less,
200,4167252754,3 weeks ago,ZEALOT,"Los Angeles, CA",Junior Art Director - Print,Entry level,Full-time,,No degree found,"$70,000.00/yr - $80,000.00/yr",,,,,,,,zealot is an awardwinning creative advertising agency crafting bold print av digital and branding campaigns that captivate audiences we blend artistry and strategy to elevate the biggest brands in film streaming and televisionour culture is built on creative excellence inclusivity collaboration and respect we invest in talent foster innovation and provide a space where ideas thrive through mentorship growth and creative exploration as we expand our horizons and push the boundaries of entertainment marketing were looking for passionate creatives to join us job description the junior art director will work under the general direction of the creative directors and art directors in a collaborative fastpaced environment the junior art director will assist in the daytoday development of key art creative for entertainment marketing campaigns responsibilities and duties participate in concepting for photo shoots key art digital and outdoor advertising assist in creating comps and revising per internal and client notes adapt developed creative to various layouts and sizes develop stronger design skills through teamwork and creative feedback bring a fresh original perspective and a positive attitude to the work qualifications skills portfolio required for application submission excellent verbal and written communication skills to convey creative ideas proficient in adobe creative suite photoshop illustrator in design etc excellent composition design and typography skills ability to prioritize and handle multiple tasks must be detailoriented organized and have a desire to grow your creativity ability to work quickly while maintaining the quality control that our clients have come to expect in an environment with tight deadlines additional information this position reports to the head of print you must be able to make a daily commute 3 x per week to the officeregular business hours are monfri 10am to 7pm the position is exempt salary the annualized pay range is 70k 80k this is subject to change and may be modified in the future actual offers may vary based on work experiencepaid time off medical dental vision benefits 401k plus employer matchingwhen necessary this position may require you to work paid overtime evenings weekends or holidayspowered by jazz hr77w8vcio2g show more show less,
200,4182403949,6 days ago,The Workshop LA,"Los Angeles, CA",Concept Designer,Director,Full-time,,No degree found,No salary found,,,,,,,,our client a successful apparel manufacturer is looking for a concept designer with product development experience this company works with target so target experience or a background in dtc fast fashion is required for the missy and juniors categories the ideal candidate must have a strong crossfunctional understanding of product development be highly selfmotivated and take ownership of the entire processsourcing factories building relationships the person must be a productdriven leader capable of spotting trends directing teams and presenting in 2d cad format overseas factory communication experience is a plus and the role is fully remote show more show less,
